Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,output
89,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,24,0.39,0.458246439,0.423988312,33.3406292,5192.88315
282,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.632108665,0.520003767,44.57214339,8440.96097
692,25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.493693466,0.446518367,35.18441169,6465.37205
389,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.572725923,0.482874674,40.65549833,7293.53617
388,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.488485703,0.417947008,34.69390641,5876.96001
320,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.582848693,0.48648622,40.55976952,7575.80124
526,25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.573428227,0.484307576,39.98873363,7064.16978
656,25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.450822025,0.420598245,33.76469664,5305.74363
416,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.62677511,0.5251356,46.13942523,7617.39589
750,25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.480072982,0.430077888,34.78799327,5403.69852
25,12.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.335529768,0.378528127,27.40175511,3471.19214
37,25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.249669817,0.249669817,41.73066669,2605.69676
319,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.498274998,0.446570029,35.05053194,5715.0084
461,25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.506793789,0.453507667,36.6742427,6331.86722
728,25,0.25,0.38,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.4096968,0.409976946,30.7671091,4218.32799
572,25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.384981338,0.392836179,31.86773783,4163.82304
181,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.574708327,0.485791513,39.33251373,7152.13259
740,25,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.481204499,0.445308404,35.28592597,5636.30874
637,25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.481472551,0.442952601,35.66559817,5807.00693
769,25,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.572725923,0.48335599,40.86547798,7048.87072
536,25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.544066693,0.442111609,36.84586824,6922.84679
638,25,0.5,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.536899811,0.462697311,37.29886067,6771.72291
582,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.464972316,0.431122059,32.78937613,5455.11891
299,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.642881721,0.501877874,42.79905453,7778.34916
566,25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.494906594,0.444967734,35.55511529,5527.42503
589,25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.560445243,0.48881217,40.26540842,7044.56761
163,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.520592483,0.434132503,35.34533175,6299.22636
146,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.401537849,0.402105764,30.79374092,4200.97375
469,25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.424778393,0.401067837,31.88184658,4789.59697
333,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,24,0.39,0.477123825,0.420598245,33.32452765,5225.16307
462,25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.435969213,0.405525072,31.38338142,4947.60566
69,12.5,0.25,0.25,0.25,0.38,86,52,71.9,62,30,50.8,34,0.56,0.392540298,0.394461774,30.05252128,4057.55521
501,25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.528518697,0.468493268,39.22848885,7416.70776
281,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.483805569,0.437062839,34.70241183,5628.8828
577,25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.506104448,0.454917386,36.3854328,6237.20605
404,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.611725787,0.508336663,42.02254143,7235.77564
724,25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,34,0.56,0.46555863,0.431142084,35.18441169,5124.8549
222,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.605758307,0.452320672,41.33629767,7715.81088
19,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.288159094,0.35441498,26.48732245,2825.00374
314,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.385021951,0.388819023,29.31600198,4281.52619
484,25,0.5,0.25,0.38,0.75,86,52,71.9,62,30,50.8,34,0.56,0.450102564,0.425331523,33.29656697,5018.45303
194,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.46082121,0.403204844,32.88840203,5817.18527
704,25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.464824509,0.409987805,31.26836507,4802.6043
489,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.427977027,0.388145286,30.35778147,4952.9856
286,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.582482579,0.490357436,40.56148952,7443.62446
293,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.572611128,0.485898084,39.15823782,7270.31832
510,25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.536209474,0.448946243,36.95787336,6394.07791
617,25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,24,0.39,0.43687052,0.416802269,32.62780351,4179.18592
357,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.600086778,0.491414051,41.97181605,7835.76779
571,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.502979625,0.429702536,35.14089874,6135.69998
505,25,0.5,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.517721232,0.462760521,37.45346655,6673.304
234,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.578887446,0.46935993,39.06314597,7555.17159
599,25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.496019026,0.448597173,34.83881461,5296.61109
294,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.600340952,0.504526655,42.16770498,7293.53617
71,12.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.51204794,0.460796109,37.45346655,1637.70402
304,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.442626748,0.438612787,31.06245643,4936.10558
254,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.583697575,0.482118713,40.81318096,7215.40971
203,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.603544257,0.491813116,41.50248162,7713.4796
685,25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.482854142,0.44549439,35.6026819,5729.71505
583,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.490242145,0.424657113,33.93441738,5602.02293
673,25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.372318474,0.394168935,30.68639758,3866.79896
418,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.442693354,0.424874062,33.84753901,4813.45285
209,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.527742687,0.437354261,36.88084855,7457.50606
256,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.596551315,0.494864674,41.52614508,7107.60976
239,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.548124898,0.466453575,39.64669117,6822.97163
591,25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.444908279,0.42727728,33.33119375,5085.84473
684,25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.425493214,0.424728104,32.41723682,4858.24073
397,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.610860604,0.508336663,45.95298911,8465.88563
605,25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.468832886,0.444587916,35.41408191,5388.50369
573,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.392540298,0.377566465,29.83315835,4179.18592
132,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.386011221,0.39728943,30.15219795,4057.55521
141,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.572046486,0.478760617,39.67566796,6958.17479
661,25,0.5,0.25,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.527724447,0.463821541,37.55556802,6279.3385
223,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.540978199,0.469978321,37.03329756,6131.30938
714,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.549794912,0.459420676,37.7247238,7617.39589
159,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.763806564,0.50952792,41.78212739,7715.81088
474,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.434546355,0.412478904,33.32452765,4952.01304
359,12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.574796304,0.482859526,39.77346165,7130.83001
268,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.557250655,0.47653588,39.50571347,6822.97163
147,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.48180056,0.44549439,35.09473308,6368.84982
276,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.63346314,0.524904141,43.3126693,8013.62631
461,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.456503309,0.464639165,34.76957798,4952.9856
709,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.487117428,0.422051395,34.5252582,5200.57849
594,25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,1,0.1,0.53434503,0.474952374,38.72243878,6836.60081
570,25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.470593127,0.413096652,33.11609108,5649.03716
551,25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.462752296,0.409907136,32.28899894,5356.87186
480,25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.53434503,0.48363057,39.58916872,7301.10622
575,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.547743879,0.468493268,39.41382075,7016.89385
14,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.350874635,0.388819023,28.28409524,3385.36422
536,25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.394248904,0.405525072,31.26836507,4248.35505
657,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.46274257,0.435764199,34.20555034,5347.51393
463,25,0.5,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.527189908,0.464522205,37.33160636,6683.20061
363,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.58492102,0.487075422,40.65549833,7206.90196
543,25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.527742687,0.46389552,38.52587501,6475.89456
689,25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.473142233,0.453001484,36.46620322,5732.24032
517,25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.402052391,0.402105764,31.36831014,5042.64034
96,12.5,0.25,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.53434503,0.467558508,36.81673726,6608.04163
563,25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.37680364,0.39617025,30.15219795,3723.52338
77,12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.548724554,0.432440021,36.98857322,6808.26361
385,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.470593127,0.430905502,34.66057255,5336.97473
415,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.593029845,0.492820232,41.35738644,7570.60862
735,25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.402052391,0.401162763,30.87322424,4200.97375
232,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.55599359,0.443192487,36.83081961,6799.72918
188,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.587319779,0.48648622,40.16166766,8711.20896
647,25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.53434503,0.463806532,37.72398079,6198.06496
359,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.489635345,0.445308404,35.56261102,5781.85965
399,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.595306377,0.494164753,41.78212739,7690.1749
693,25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.612209289,0.50404651,42.13008169,7085.06308
275,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.53255682,0.465680233,36.95787336,6830.96605
34,25,0.25,0.25,0.25,0.75,86,52,71.9,62,30,50.8,34,0.56,0.448841436,0.42727728,33.44938499,5330.06203
477,25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.482854142,0.436345708,34.0430221,5453.99382
479,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.524635459,0.460322355,37.90930402,6621.25081
513,25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,34,0.56,0.42213693,0.404869033,31.67018669,4999.15621
657,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.622419314,0.513585375,43.07173864,8263.28974
659,25,0.5,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.33592747,0.35441498,27.40175511,3269.27176
433,12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.538593399,0.442111609,35.55753695,6528.79888
634,25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.583697575,0.482227496,40.45342047,6942.3963
331,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.494677622,0.44549439,36.09379556,5643.36045
604,25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.519208599,0.45230956,36.66168432,6109.85047
434,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.523845567,0.462760521,37.07093657,6575.59267
476,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.498952193,0.442865602,35.78113923,5837.21503
751,25,0.5,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.397278517,0.391617371,30.74970088,4079.91244
621,25,0.5,0.25,0.75,0.63,86,52,71.9,62,30,50.8,24,0.39,0.57467888,0.486889324,39.7419306,7080.04004
749,25,0.5,0.38,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.41545835,0.402226397,32.29905902,4700.57615
41,25,0.25,0.25,0.38,0.25,86,52,71.9,62,30,50.8,24,0.39,0.467905283,0.431122059,32.68039834,5535.05665
171,12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.587319779,0.492820232,40.55976952,7556.10991
605,25,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.480072982,0.442111609,35.49472557,5529.06614
444,12.5,0.25,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.531583632,0.465807165,37.13019216,6125.69538
661,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.520587192,0.460796109,37.81761708,6132.41738
722,25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.582604099,0.490981116,41.71941614,7626.61733
714,25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,34,0.56,0.392583006,0.403204844,31.10924166,4232.76231
127,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.531891546,0.460305334,37.25124178,6033.77856
636,25,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.476807761,0.438669933,34.2751629,5695.56442
511,25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.449195313,0.398255665,33.44938499,4853.8076
610,25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.595052932,0.495006371,41.17642111,7541.6674
699,25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.509158377,0.411590845,36.99403039,6574.18247
605,25,0.5,0.38,0.75,0.5,86,52,71.9,62,30,50.8,24,0.39,0.464972316,0.417908804,34.83881461,5313.37828
449,25,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.402052391,0.409760795,31.7671091,4673.38052
328,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.504169517,0.45370258,36.81018683,5852.8742
556,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.583077181,0.492820232,40.4613306,7793.44206
196,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.57467888,0.469892556,39.8226933,7181.42522
76,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.612633396,0.503991707,42.17176453,7829.514
186,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.542170237,0.462462315,37.78638255,6564.9583
337,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.527189908,0.476308423,38.37855771,7007.66825
730,25,0.5,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.385503456,0.400102144,30.79374092,4336.10096
635,25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,24,0.39,0.480072982,0.426678021,34.76957798,5684.14351
117,12.5,0.25,0.25,0.25,0.75,86,52,71.9,62,30,50.8,16,0.26,0.623063206,0.513208594,43.67027165,8263.28974
166,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.600340952,0.500653697,42.93997745,7101.75783
648,25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.48180056,0.445134287,35.64822051,5538.91301
186,12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,16,0.26,0.390063566,0.40166998,30.68639758,3900.34404
199,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.462013355,0.40878935,32.6584962,6097.44285
35,25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.463537294,0.437317312,33.12546719,5234.74696
327,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.411591443,0.388821721,31.67018669,4493.64409
315,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.603524723,0.509645194,42.48595317,7858.68558
619,25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.498657334,0.448597173,36.8499528,5367.61826
252,25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.571708025,0.482874674,39.38136072,7117.95038
292,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.551499227,0.480847944,38.48388312,6554.97686
351,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.543972464,0.463020067,37.4186977,6292.96076
33,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,16,0.26,0.509989204,0.452320672,36.31159312,6255.89064
435,12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.635315515,0.524904141,43.3126693,8263.28974
298,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.585434474,0.481173502,40.37019338,8823.69011
621,25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.469150447,0.416280584,33.44212024,5741.31418
576,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.480963646,0.439040667,35.88512085,6461.67087
183,12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.612209289,0.503991707,42.17176453,7825.87492
62,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.434546355,0.39604355,31.44274436,4558.98072
439,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.481204499,0.449545727,35.6972028,5482.0813
542,25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.467905283,0.423246366,33.22890035,5291.89688
721,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.520637077,0.436996925,38.38301202,6752.17704
751,25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.594796304,0.495006371,41.94865711,7628.6476
304,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.451291733,0.426746554,33.13758465,1945.53061
459,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.449877074,0.428118259,33.08835541,4568.67217
